French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
attoquer,прислонять (акадийск.),v,"<b>Attoque</b> l'échelle contre le mur.","<b>Прислони</b> лестницу к стене.",Acadien. Familier. Groupe 1 (-er).,🪜,quebecismes
s'attriquer,наряжаться,v,"Elle s'est <b>attriquée</b> pour la soirée.","Она <b>нарядилась</b> для вечеринки.",Familier. France: s'attifer. Groupe 1 (-er).,👗,quebecismes
une autopatrouille,полицейский автомобиль,f,"L'<b>autopatrouille</b> est arrivée en cinq minutes.","<b>Полицейская машина</b> приехала через пять минут.",Officiel au Québec. France: voiture de police.,🚔,quebecismes
une avionnerie,авиазавод,f,"Bombardier a fermé son <b>avionnerie</b> à Mirabel.","Bombardier закрыл свой <b>авиазавод</b> в Мирабеле.",Industrie aéronautique québécoise. France: usine d'avions.,✈️,quebecismes
une aérobique,аэробика,f,"Elle fait de l'<b>aérobique</b> trois fois par semaine.","Она занимается <b>аэробикой</b> три раза в неделю.",Aussi: aérobic. Anglicisme adapté.,🏃‍♀️,quebecismes
une babiche,ремешок из сыромятной кожи,f,"Les raquettes traditionnelles sont tressées en <b>babiche</b>.","Традиционные снегоступы плетут из <b>сыромятных ремешков</b>.",D'origine amérindienne. Artisanat traditionnel.,🦌,quebecismes
un babillard électronique,электронная доска объявлений (BBS),m,"Dans les années 90 on se connectait aux <b>babillards électroniques</b>.","В 90-х подключались к <b>электронным доскам объявлений</b>.",Terme officiel OQLF. France: forum (historique).,💻,quebecismes
une baboune,губа; надутые губы,f,"Arrête de faire la <b>baboune</b> et viens manger !","Хватит <b>дуть губы</b>, иди есть!",Familier. Faire la baboune = bouder.,😤,quebecismes
un bac,паром,m,"On a traversé le fleuve en <b>bac</b> à Tadoussac.","Мы пересекли реку на <b>пароме</b> в Тадуссаке.",Traversier à fond plat. Courant au Québec.,⛴️,quebecismes
une bagosse,самогон,m,"Mon grand-père faisait de la <b>bagosse</b> dans le temps.","Мой дедушка гнал <b>самогон</b> в своё время.",Alcool artisanal illégal. Familier.,🥃,quebecismes
un balado,подкаст,m,"J'écoute un <b>balado</b> sur l'histoire du Québec.","Я слушаю <b>подкаст</b> об истории Квебека.",Terme officiel OQLF. France: podcast. Très courant.,🎧,quebecismes
une baladodiffusion,подкастинг,f,"La <b>baladodiffusion</b> est devenue populaire au Québec.","<b>Подкастинг</b> стал популярен в Квебеке.",Terme officiel OQLF. France: podcasting.,📡,quebecismes
une balloune,воздушный шарик; алкотестер,f,"Les enfants jouent avec des <b>ballounes</b> à la fête.","Дети играют с <b>шариками</b> на празднике.",Familier. Aussi: souffler dans la balloune = passer l'alcootest.,🎈,quebecismes
bardasser,трясти; толкать,v,"Le vent <b>bardasse</b> les volets toute la nuit.","Ветер <b>хлопает</b> ставнями всю ночь.",Aussi: berdasser. Familier. Groupe 1 (-er).,💨,quebecismes
une barrure,засов,f,"Mets la <b>barrure</b> sur la porte avant de partir.","Задвинь <b>засов</b> на двери перед уходом.",France: verrou. Courant au Québec.,🔒,quebecismes
une bassinette,детская кроватка,f,"Le bébé dort dans sa <b>bassinette</b>.","Малыш спит в своей <b>кроватке</b>.",France: lit à barreaux / berceau. Courant.,👶,quebecismes
une batture,отмель (при отливе),f,"On ramasse des coquillages sur la <b>batture</b>.","Мы собираем ракушки на <b>отмели</b>.",Terme maritime. Région du Saint-Laurent.,🐚,quebecismes
un bavardoir,чат,m,"Dans le <b>bavardoir</b> on peut discuter en temps réel.","В <b>чате</b> можно общаться в реальном времени.",Terme OQLF. Plus courant: clavardage.,💬,quebecismes
un bazou,старая развалюха (машина),m,"Il roule encore avec son vieux <b>bazou</b> rouillé.","Он всё ещё ездит на своей старой ржавой <b>развалюхе</b>.",Familier. Synonyme: minoune. Très québécois.,🚗,quebecismes
un bec,поцелуй,m,"Donne-moi un petit <b>bec</b> avant de partir !","Дай мне <b>чмок</b> перед уходом!",Familier. Donner un bec = faire un bisou. Très courant.,💋,quebecismes
un beigne,пончик,m,"Je vais chercher des <b>beignes</b> au Tim Hortons.","Схожу за <b>пончиками</b> в Tim Hortons.",Icône québécoise. France: beignet (différent).,🍩,quebecismes
une beignerie,пончиковая,f,"Il y a une <b>beignerie</b> au coin de la rue.","На углу есть <b>пончиковая</b>.",France: boutique de beignets.,🏪,quebecismes
un bidou,деньги; бабки,m,"Je n'ai plus de <b>bidous</b> pour finir le mois.","У меня нет <b>бабок</b> дотянуть до конца месяца.",Familier. Synonyme: argent. Souvent au pluriel.,💵,quebecismes
une binerie,забегаловка,f,"On a mangé dans une petite <b>binerie</b> du Vieux-Montréal.","Мы поели в маленькой <b>забегаловке</b> Старого Монреаля.",De beans (fèves au lard). Restaurant simple.,🍽️,quebecismes
un bleuet,черника (голубика),m,"On a cueilli des <b>bleuets</b> au Lac-Saint-Jean.","Мы собирали <b>чернику</b> на Лак-Сен-Жане.",Baie emblématique du Québec. Saguenay = capitale du bleuet.,🫐,quebecismes
une bleueterie,черничная ферма,f,"La <b>bleueterie</b> ouvre en juillet pour l'autocueillette.","<b>Черничная ферма</b> открывается в июле для самосбора.",Région du Saguenay–Lac-Saint-Jean.,🏕️,quebecismes
une blonde,девушка (подруга),f,"Je te présente ma <b>blonde</b> Marie.","Познакомься с моей <b>девушкой</b> Мари.",Très courant! France: copine/petite amie. Pas lié à la couleur des cheveux!,👩‍❤️‍👨,quebecismes
des bobettes,трусы,f,"J'ai besoin de nouvelles <b>bobettes</b>.","Мне нужны новые <b>трусы</b>.",Familier. Toujours pluriel. France: slip/caleçon.,🩲,quebecismes
un boire,кормление (грудью),m,"C'est l'heure du <b>boire</b> pour le bébé.","Пора <b>кормить</b> малыша.",Québec: nom. France: verbe seulement (boire).,🍼,quebecismes
une boucane,дым,f,"Il y a de la <b>boucane</b> qui sort de la cheminée.","Из трубы идёт <b>дым</b>.",Familier. France: fumée. D'origine amérindienne.,💨,quebecismes
une bouette,грязь,f,"Essuie tes bottes il y a de la <b>bouette</b> partout !","Вытри сапоги — везде <b>грязь</b>!",Familier. France: boue. Aussi: gadoue.,🥾,quebecismes
bougonneux; bougonneuse,ворчливый,adj,"Mon grand-père est un peu <b>bougonneux</b> le matin.","Мой дедушка немного <b>ворчливый</b> по утрам.",France: grognon/bougon.,😠,quebecismes
une bougrine,утеплённая куртка,f,"Mets ta <b>bougrine</b> il fait frette dehors !","Надень <b>куртку</b> — на улице холодно!",Veste chaude. Terme traditionnel québécois.,🧥,quebecismes
un bourgot,морская улитка,m,"On mange des <b>bourgots</b> dans les restaurants de la Gaspésie.","В ресторанах Гаспези едят <b>морских улиток</b>.",Fruits de mer. Région maritime du Québec.,🐚,quebecismes
bourrasser,грубить; толкать,v,"Arrête de <b>bourrasser</b> ton petit frère !","Хватит <b>толкать</b> младшего брата!",Familier. France: bousculer. Groupe 1 (-er).,👊,quebecismes
un bouscueil,торосы (нагромождение льда),m,"Le <b>bouscueil</b> bloque le passage sur le fleuve.","<b>Торосы</b> перекрывают проход по реке.",Terme maritime hivernal. Saint-Laurent.,🧊,quebecismes
branleux; branleuse,нерешительный человек,adj,"Il est trop <b>branleux</b> pour prendre une décision.","Он слишком <b>нерешительный</b>, чтобы принять решение.",Familier. France: indécis. Péjoratif.,🤔,quebecismes
une braoule,большая ложка (устар.),f,"Grand-mère remuait la soupe avec sa <b>braoule</b>.","Бабушка помешивала суп своей <b>большой ложкой</b>.",Vieux. Terme traditionnel québécois.,🥄,quebecismes
un breffage,брифинг,m,"Le premier ministre donne un <b>breffage</b> à la presse.","Премьер-министр проводит <b>брифинг</b> для прессы.",Terme officiel OQLF. France: briefing.,📋,quebecismes
breffer,проводить брифинг,v,"Le directeur va <b>breffer</b> l'équipe ce matin.","Директор <b>проведёт брифинг</b> команды этим утром.",Terme OQLF. France: briefer. Groupe 1 (-er).,📢,quebecismes
bretteux; bretteuse,бездельник,adj,"Mon coloc est un vrai <b>bretteux</b> qui ne fait rien.","Мой сосед — настоящий <b>бездельник</b>, ничего не делает.",Familier. France: fainéant. Bretter = perdre son temps.,😴,quebecismes
une broue,пена; пузыри,f,"Il y a de la <b>broue</b> sur ma bière.","На моём пиве <b>пена</b>.",Familier. Aussi: péter de la broue = se vanter.,🍺,quebecismes
une brunante,сумерки,f,"On rentre à la maison à la <b>brunante</b>.","Мы возвращаемся домой в <b>сумерках</b>.",Très poétique. France: crépuscule. Courant au Québec.,🌆,quebecismes
une bébelle,игрушка; безделушка,f,"Les enfants ont laissé leurs <b>bébelles</b> partout.","Дети разбросали свои <b>игрушки</b> повсюду.",Familier. France: jouet / bibelot.,🧸,quebecismes
une bébitte,букашка,f,"Il y a une <b>bébitte</b> dans la cuisine !","На кухне <b>букашка</b>!",Familier. France: bestiole. Aussi: insecte en général.,🐛,quebecismes
les bécosses,туалет (уличный),f,"Les <b>bécosses</b> sont derrière le chalet.","<b>Туалет</b> за коттеджем.",Familier. De l'anglais backhouse. Toujours pluriel.,🚽,quebecismes
cabaler,агитировать,v,"Il <b>cabale</b> pour le parti depuis des années.","Он <b>агитирует</b> за партию уже много лет.",Politique. France: faire campagne. Groupe 1 (-er).,🗳️,quebecismes
caller,объявлять фигуры (в танце),v,"Le musicien <b>calle</b> les sets carrés.","Музыкант <b>объявляет фигуры</b> кадрили.",Danses folkloriques québécoises. De l'anglais to call.,💃,quebecismes
un calleur,ведущий народных танцев,m,"Le <b>calleur</b> anime la soirée de danse traditionnelle.","<b>Ведущий</b> оживляет вечер народных танцев.",Folklore québécois. Sets carrés.,🎤,quebecismes
canotable,пригодный для гребли,adj,"Cette rivière est <b>canotable</b> tout l'été.","Эта река <b>пригодна для гребли</b> всё лето.",Plein air. Canot = kayak/canoe.,🛶,quebecismes
canter,наклонять; кренить,v,"<b>Cante</b> un peu la table pour la déplacer.","<b>Наклони</b> немного стол, чтобы передвинуть.",Familier. France: pencher. Groupe 1 (-er).,↗️,quebecismes
carreauté; carreautée,в клетку (о ткани),adj,"Il porte toujours des chemises <b>carreautées</b>.","Он всегда носит <b>клетчатые</b> рубашки.",France: à carreaux. Adjectif courant.,👔,quebecismes
un cassot,лоток (для ягод),m,"J'ai acheté un <b>cassot</b> de fraises au marché.","Я купил <b>лоток</b> клубники на рынке.",Petit contenant. Courant au marché.,🍓,quebecismes
une catalogne,домотканый коврик,f,"Grand-mère a tissé cette <b>catalogne</b> à la main.","Бабушка соткала этот <b>коврик</b> вручную.",Artisanat traditionnel québécois. Textile.,🧵,quebecismes
catiner,играть в куклы; нянчить,v,"Elle aime <b>catiner</b> ses petites sœurs.","Она любит <b>нянчить</b> своих младших сестёр.",Familier. De catin = poupée. Groupe 1 (-er).,🎎,quebecismes
un caucus,закрытое совещание партии,m,"Les députés se réunissent en <b>caucus</b> chaque semaine.","Депутаты собираются на <b>совещание</b> каждую неделю.",Terme politique. De l'anglais. Courant au Canada.,🏛️,quebecismes
un cenellier,боярышник,m,"Les oiseaux mangent les fruits du <b>cenellier</b>.","Птицы едят плоды <b>боярышника</b>.",Aussi: senellier. Arbre indigène.,🌳,quebecismes
une cenne,цент,f,"Je n'ai pas une <b>cenne</b> sur moi.","У меня нет ни <b>цента</b>.",Familier. De l'anglais cent. Très courant.,🪙,quebecismes
un chalin,зарница,m,"On voit des <b>chalins</b> à l'horizon ce soir.","Сегодня вечером на горизонте видны <b>зарницы</b>.",Éclair de chaleur sans tonnerre. Poétique.,⚡,quebecismes
chambranlant; chambranlante,шаткий,adj,"Cette vieille chaise est <b>chambranlante</b>.","Этот старый стул <b>шаткий</b>.",France: branlant / bancal.,🪑,quebecismes
chambranler,шататься,v,"La table <b>chambranle</b> sur le plancher inégal.","Стол <b>шатается</b> на неровном полу.",France: chanceler. Groupe 1 (-er).,🔄,quebecismes
un chambreur; une chambreuse,квартирант,m,"Le <b>chambreur</b> paie son loyer le premier du mois.","<b>Квартирант</b> платит арендную плату первого числа.",France: locataire d'une chambre.,🏠,quebecismes
une champleure,кран,f,"Ferme la <b>champleure</b> tu gaspilles l'eau !","Закрой <b>кран</b> — ты тратишь воду!",Aussi: champlure. France: robinet.,🚰,quebecismes
chaudasse,подвыпивший,adj,"Il est un peu <b>chaudasse</b> après trois bières.","Он немного <b>подвыпивший</b> после трёх пива.",Familier. France: éméché / pompette.,🍻,quebecismes
une chaudierée,ведро (содержимое),f,"On a ramassé une <b>chaudierée</b> de bleuets.","Мы набрали <b>ведро</b> черники.",Contenu d'une chaudière (seau). Courant.,🪣,quebecismes
un chialage,нытьё; жалобы,m,"J'en ai assez de ton <b>chialage</b> constant !","Мне надоело твоё постоянное <b>нытьё</b>!",Familier. Verbe: chialer = se plaindre.,😩,quebecismes
chialeux; chialeuse,нытик,adj,"Arrête d'être <b>chialeux</b> et fais quelque chose !","Хватит быть <b>нытиком</b> и сделай что-нибудь!",Familier. Très courant. France: râleur.,😤,quebecismes
une chicane,шикана (дорожное сужение),f,"Il y a une <b>chicane</b> pour ralentir les voitures.","Там есть <b>шикана</b> для замедления машин.",Aussi: querelle (sens commun). Terme routier.,🚧,quebecismes
une chicouté,морошка,f,"On cueille la <b>chicouté</b> dans les tourbières du Nord.","Мы собираем <b>морошку</b> на болотах Севера.",Baie nordique. D'origine amérindienne.,🍊,quebecismes
un chiro,хиропрактик,m,"Je vais voir mon <b>chiro</b> pour mon mal de dos.","Я иду к <b>хиропрактику</b> из-за боли в спине.",Abréviation courante. France: chiropracteur.,🏥,quebecismes
une chiropratique,хиропрактика,f,"Il étudie la <b>chiropratique</b> à l'université.","Он изучает <b>хиропрактику</b> в университете.",Terme officiel. France: chiropraxie.,💆,quebecismes
un chum,друг; парень; бойфренд,m,"Je sors avec mon <b>chum</b> ce soir.","Я иду гулять со своим <b>парнем</b> сегодня.",Très courant! Ami ou petit ami selon contexte. De l'anglais.,👦,quebecismes
chèrant; chèrante,дорогой (о продавце),adj,"Ce magasin est <b>chèrant</b> pour rien.","Этот магазин <b>дерёт</b> цены ни за что.",Familier. France: qui vend cher.,💸,quebecismes
un cinéparc,автокинотеатр,m,"On va au <b>cinéparc</b> voir un film en voiture.","Мы идём в <b>автокинотеатр</b> смотреть фильм из машины.",Nostalgie des années 50-70. Encore quelques-uns au Québec.,🎬,quebecismes
un cipaille,мясной пирог (слоёный),m,"Ma grand-mère fait le meilleur <b>cipaille</b> de la région.","Моя бабушка делает лучший <b>мясной пирог</b> в регионе.",Aussi: cipâte. Plat traditionnel du temps des fêtes.,🥧,quebecismes
un cisco,сиг,m,"On a pêché des <b>ciscos</b> dans le lac.","Мы наловили <b>сигов</b> в озере.",Poisson d'eau douce. Région des lacs.,🐟,quebecismes
clavarder,общаться в чате,v,"Les ados passent des heures à <b>clavarder</b>.","Подростки часами <b>сидят в чате</b>.",Terme OQLF. De clavier + bavarder. Très courant.,💬,quebecismes
se colletailler,препираться,v,"Les enfants se <b>colletaillent</b> pour la télécommande.","Дети <b>препираются</b> из-за пульта.",Familier. France: se chamailler. Groupe 1 (-er).,🤼,quebecismes
colleux; colleuse,ласковый,adj,"Mon chat est très <b>colleux</b> ce soir.","Мой кот очень <b>ласковый</b> сегодня.",Familier. Aime les câlins. France: câlin (adj).,🤗,quebecismes
collégial; collégiale,относящийся к колледжу (cégep),adj,"Elle a terminé ses études <b>collégiales</b>.","Она закончила <b>колледж</b>.",Système éducatif québécois unique. Après secondaire avant université.,🎓,quebecismes
un comité exécutif,исполнительный комитет,m,"Le <b>comité exécutif</b> se réunit demain matin.","<b>Исполнительный комитет</b> собирается завтра утром.",Terme administratif. Courant.,📊,quebecismes
une commune,общинное пастбище,f,"Les vaches paissent sur la <b>commune</b> du village.","Коровы пасутся на <b>общинном пастбище</b>.",Terme agricole traditionnel. Région rurale.,🐄,quebecismes
compétitionner,конкурировать,v,"Notre entreprise <b>compétitionne</b> sur le marché mondial.","Наша компания <b>конкурирует</b> на мировом рынке.",France: être en compétition. Groupe 1 (-er).,🏆,quebecismes
un cométique,собачьи нарты,m,"Les Inuits voyagent en <b>cométique</b> dans le Grand Nord.","Инуиты путешествуют на <b>собачьих нартах</b> на Крайнем Севере.",Du inuktitut. Région arctique.,🛷,quebecismes
un condo,кондоминиум,m,"On a acheté un <b>condo</b> au centre-ville.","Мы купили <b>кондо</b> в центре города.",Abréviation courante. France: appartement en copropriété.,🏢,quebecismes
un conventum,встреча выпускников,m,"J'ai revu mes amis au <b>conventum</b> du cégep.","Я встретил друзей на <b>встрече выпускников</b> колледжа.",Du latin. France: réunion d'anciens élèves.,🎓,quebecismes
un coqueron,каморка,m,"Il vit dans un petit <b>coqueron</b> près du port.","Он живёт в маленькой <b>каморке</b> у порта.",Familier. Logement exigu. Aussi: recoin d'un navire.,🚪,quebecismes
un coquetel,коктейль,m,"On sert des <b>coquetels</b> à la réception.","На приёме подают <b>коктейли</b>.",Orthographe québécoise. France: cocktail.,🍸,quebecismes
un cossin,безделушка,m,"Il collectionne des <b>cossins</b> inutiles.","Он коллекционирует бесполезные <b>безделушки</b>.",Familier. France: babiole / truc.,🎁,quebecismes
couetté; couettée,взъерошенный,adj,"Tu es tout <b>couetté</b> ce matin !","Ты весь <b>взъерошенный</b> этим утром!",Familier. France: ébouriffé.,🙆,quebecismes
un couraillage,беготня,m,"Avec ce <b>couraillage</b> je suis épuisé.","От этой <b>беготни</b> я измотан.",De courailler = courir partout.,🏃,quebecismes
courailleur; courailleuse,бегающий повсюду,adj,"Ce chien est trop <b>courailleur</b> pour un appartement.","Эта собака слишком <b>непоседливая</b> для квартиры.",Familier. France: qui court partout.,🐕,quebecismes
un coussin,лежачий полицейский,m,"Attention au <b>coussin</b> sur la route !","Осторожно — <b>лежачий полицейский</b> на дороге!",Aussi: dos d'âne. Terme routier OQLF.,🚗,quebecismes
cramper,выкручивать руль,v,"<b>Crampe</b> à gauche pour te stationner.","<b>Выверни руль</b> влево, чтобы припарковаться.",Familier. France: braquer. Groupe 1 (-er).,🔄,quebecismes
un crapet,солнечная рыба,m,"On a pêché des <b>crapets</b> dans le lac.","Мы наловили <b>солнечных рыб</b> в озере.",Poisson coloré d'eau douce. Pêche sportive.,🐠,quebecismes
croche,кривой; нечестный,adj,"Cette affaire me semble <b>croche</b>.","Это дело кажется мне <b>нечестным</b>.",Familier. Aussi: tordu physiquement. Très courant.,📐,quebecismes
crochir,гнуть; искривлять,v,"Le vent a <b>crochi</b> les branches de l'arbre.","Ветер <b>согнул</b> ветки дерева.",France: courber / tordre. Groupe 2 (-ir).,🌬️,quebecismes
un créditiste; une créditiste,кредитист (полит.),m,"Mon grand-père était <b>créditiste</b> dans les années 60.","Мой дедушка был <b>кредитистом</b> в 60-х.",Parti politique historique du Québec. Crédit social.,🏛️,quebecismes
une cuirette,кожзам,f,"Ce sofa est en <b>cuirette</b> pas en vrai cuir.","Этот диван из <b>кожзама</b> а не из настоящей кожи.",France: similicuir / skaï.,🛋️,quebecismes
une cédrière,кедровник,f,"On se promène dans la <b>cédrière</b> derrière la maison.","Мы гуляем в <b>кедровнике</b> за домом.",Thuya occidental (cèdre blanc). Forêt québécoise.,🌲,quebecismes
un cégep,колледж (Квебек),m,"Elle étudie au <b>cégep</b> de Montréal.","Она учится в <b>колледже</b> в Монреале.",Collège d'enseignement général et professionnel. Unique au Québec!,🏫,quebecismes
un cégépien; une cégépienne,студент колледжа,m,"Les <b>cégépiens</b> ont congé demain.","<b>Студенты колледжа</b> завтра отдыхают.",Étudiant de cégep. Système éducatif québécois.,👨‍🎓,quebecismes
une denturologie,зубопротезирование,f,"Il a étudié la <b>denturologie</b> pendant trois ans.","Он изучал <b>зубопротезирование</b> три года.",Profession paramédicale québécoise.,🦷,quebecismes
un denturologiste; une denturologiste,зубной техник,m,"Le <b>denturologiste</b> a ajusté mes prothèses.","<b>Зубной техник</b> подогнал мои протезы.",France: prothésiste dentaire.,😁,quebecismes
un diachylon,пластырь,m,"Mets un <b>diachylon</b> sur ta coupure.","Наклей <b>пластырь</b> на порез.",France: pansement / sparadrap. De marque commerciale.,🩹,quebecismes
disable,невероятный,adj,"C'est pas <b>disable</b> comme c'était bon !","Это <b>невероятно</b> как было вкусно!",Familier. Négatif: n'être pas disable = incroyable.,🤯,quebecismes
un diététiste; une diététiste,диетолог,m,"J'ai consulté un <b>diététiste</b> pour perdre du poids.","Я обратился к <b>диетологу</b> чтобы похудеть.",Terme officiel. France: diététicien.,🥗,quebecismes
une douance,одарённость,f,"Son fils a été diagnostiqué avec une <b>douance</b>.","У его сына диагностировали <b>одарённость</b>.",Terme pédagogique. France: surdouement / haut potentiel.,🧒,quebecismes
un doubleur; une doubleuse,второгодник,m,"Il y a plusieurs <b>doubleurs</b> dans cette classe.","В этом классе несколько <b>второгодников</b>.",France: redoublant.,📚,quebecismes
draver,сплавлять лес,v,"Mon arrière-grand-père <b>dravait</b> sur la rivière Saint-Maurice.","Мой прадед <b>сплавлял лес</b> по реке Сен-Морис.",Métier historique. De l'anglais to drive (logs). Groupe 1 (-er).,🪵,quebecismes
une débarbouillette,махровая салфетка (для умывания),f,"Passe-moi la <b>débarbouillette</b> s'il te plaît.","Передай мне <b>салфетку</b> пожалуйста.",Très courant. France: gant de toilette.,🧼,quebecismes
un débossage,выправление вмятин,m,"Le <b>débossage</b> de ma voiture m'a coûté cher.","<b>Выправление вмятин</b> моей машины обошлось дорого.",Carrosserie automobile. France: débosselage.,🔧,quebecismes
débosser,выправлять вмятины,v,"Il faut <b>débosser</b> l'aile avant de la peindre.","Нужно <b>выправить вмятины</b> на крыле перед покраской.",France: débosseler. Groupe 1 (-er).,🚙,quebecismes
dégêner,раскрепощать,v,"Un verre de vin l'a <b>dégêné</b>.","Бокал вина его <b>раскрепостил</b>.",France: mettre à l'aise. Groupe 1 (-er).,🍷,quebecismes
un dépanneur,магазин шаговой доступности,m,"Je vais au <b>dépanneur</b> chercher du lait.","Иду в <b>магазинчик</b> за молоком.",Très courant! Icône québécoise. France: épicerie de quartier.,🏪,quebecismes
un dépôt forestier,лесная база,m,"Les bûcherons se retrouvent au <b>dépôt forestier</b>.","Лесорубы собираются на <b>лесной базе</b>.",Industrie forestière. Centre d'approvisionnement.,🌲,quebecismes
un désennui,развлечение,m,"La lecture est mon <b>désennui</b> préféré.","Чтение — моё любимое <b>развлечение</b>.",France: distraction / divertissement.,📖,quebecismes
dézoner,менять зонирование,v,"La ville veut <b>dézoner</b> ce terrain agricole.","Город хочет <b>изменить зонирование</b> этого сельхозучастка.",Urbanisme. Politique municipale. Groupe 1 (-er).,🗺️,quebecismes
une efface,ластик,f,"Prête-moi ton <b>efface</b> s'il te plaît.","Одолжи мне свой <b>ластик</b> пожалуйста.",Très courant. France: gomme.,✏️,quebecismes
emboucaner,коптить,v,"On va <b>emboucaner</b> du saumon cette fin de semaine.","Мы будем <b>коптить</b> лосося в эти выходные.",France: fumer / enfumer. Groupe 1 (-er).,🐟,quebecismes
embouveter,соединять в паз,v,"Le menuisier <b>embouvète</b> les planches du parquet.","Столяр <b>соединяет в паз</b> доски паркета.",Menuiserie. Terme technique. Groupe 1 (-er).,🪚,quebecismes
embâcler,загромождать,v,"Les glaces <b>embâclent</b> la rivière au printemps.","Льды <b>загромождают</b> реку весной.",Aussi: embarrasser. Groupe 1 (-er).,🧊,quebecismes
emmieuter,улучшать,v,"On a <b>emmieuté</b> la recette de grand-mère.","Мы <b>улучшили</b> бабушкин рецепт.",Vieux. France: améliorer. Groupe 1 (-er).,⬆️,quebecismes
une empilade,куча,f,"Il y a une <b>empilade</b> de vêtements sur le lit.","На кровати <b>куча</b> одежды.",Familier. France: entassement / tas.,📦,quebecismes
s'encalmer,штилеть,v,"Le voilier s'est <b>encalmé</b> au milieu du lac.","Парусник <b>заштилел</b> посреди озера.",Maritime. Manque de vent. Groupe 1 (-er).,⛵,quebecismes
encanter,продавать с аукциона,v,"On va <b>encanter</b> les meubles de la succession.","Мебель из наследства <b>пустят с молотка</b>.",France: vendre aux enchères. Groupe 1 (-er).,🔨,quebecismes
un encanteur; une encanteuse,аукционист,m,"L'<b>encanteur</b> a vendu le tableau à bon prix.","<b>Аукционист</b> продал картину за хорошую цену.",France: commissaire-priseur.,🎤,quebecismes
